gid	key	parent_key	parent_table	text
gid_2016_05_07_nynmlb_sdnmlb_1	0	0	media	Vuelacercas solitario del cubano Yoenis Céspedes pone a los Mets 2-0
gid_2016_05_07_nynmlb_sdnmlb_1	1	1	media	Bartolo Colón pega su primer cuadrangular en las Grandes Ligas
gid_2016_05_07_nynmlb_sdnmlb_1	2	2	media	Doble matanza por parte de los Padres
gid_2016_05_07_nynmlb_sdnmlb_1	3	3	media	jon Jay conecta un HR de tres carreras que pone a los Padres en la pizarra
gid_2016_05_07_nynmlb_sdnmlb_1	4	4	media	Asdrubal Cabrera se luce con el guante
gid_2016_05_07_nynmlb_sdnmlb_1	5	5	media	James Shields le gana el duelo esta vez a Bartolo Colón al poncharlo
gid_2016_05_07_nynmlb_sdnmlb_1	6	6	media	Brad Hand le da un chocolate a Lucas Duda y deja dos hombres en base
gid_2016_05_07_nynmlb_sdnmlb_1	7	7	media	Jemile Weeks se lastima en un toque de bola
gid_2016_05_07_nynmlb_sdnmlb_1	8	8	media	Statcast mide la velocidad exacta y distancia del HR del veterano lanzador Bartolo Colón
gid_2016_05_07_nynmlb_sdnmlb_1	9	9	media	David Wright se vuela la barda en la novena para conseguir su cuarto HR de la temporada
gid_2016_05_07_nynmlb_sdnmlb_1	10	10	media	Addison Reed poncha al cubano Ramírez con dos hombres en base
gid_2016_05_07_nynmlb_sdnmlb_1	11	11	media	Michael Conforto empalma un HR al jardín derecho
gid_2016_05_07_nynmlb_sdnmlb_1	12	12	media	Jeurys Familia poncha a Adam Rosales y sella el triunfo de Mest 6-3
gid_2016_05_07_nynmlb_sdnmlb_1	13	13	media	Jerry Blevins poncha a Jon Jay y sale de problemas en el inning
gid_2016_05_07_nynmlb_sdnmlb_1	14	14	media	El comediante Breuer dialoga acerca de los Mets
gid_2016_05_07_nynmlb_sdnmlb_1	15	15	media	Lanzadores de Mets saludan a los aficionados
gid_2016_05_07_nynmlb_sdnmlb_1	16	16	media	David Wright se roba segunda base
gid_2016_05_07_nynmlb_sdnmlb_1	17	17	media	James Shields strikes out eight over six innings, allowing four runs on five hits and five walks vs. the Mets
gid_2016_05_07_nynmlb_sdnmlb_1	18	18	media	Jonrones consecutivos de Wright y Conforto
gid_2016_05_07_nynmlb_sdnmlb_1	19	19	media	Los Mets muestran su poder al pegar cuatros jonrones
gid_2016_05_07_nynmlb_sdnmlb_1	20	20	media	Daily Recap: Bartolo Colon led the way as he belted his first career home run and pitched 6 2/3 innings in the Mets' 6-3 win
gid_2016_05_07_nynmlb_sdnmlb_1	21	21	media	5/7/16 Condensed Game: NYM@SD
gid_2016_05_07_nynmlb_sdnmlb_1	22	22	media	El manager de los Mets Terry Collins habla sobre el bambinazo de Colón
gid_2016_05_07_nynmlb_sdnmlb_1	23	23	media	Green comenta ante la derrota vs. Mets 6-3
gid_2016_05_07_nynmlb_sdnmlb_1	24	24	media	Noche redondad para Colón en triunfo vs. Padres
gid_2016_05_07_nynmlb_sdnmlb_1	25	25	media	Reacciones del equipo ante el cuadrangular de Colón
gid_2016_05_07_nynmlb_sdnmlb_1	26	26	media	Bartolo Colón pega su primer cuadrangular en las Grandes Ligas
gid_2016_05_07_nynmlb_sdnmlb_1	27	27	media	Neil Walker fouls a pitch off of his right shin during his first at-bat
