gid	key	parent_key	parent_table	text
gid_2016_05_07_nynmlb_sdnmlb_1	0	0	media	NYM@SD: Vuelacercas solitario del cubano Céspedes
gid_2016_05_07_nynmlb_sdnmlb_1	1	1	media	NYM@SD: Histórico primer HR de Bartolo Colón en Grandes Ligas
gid_2016_05_07_nynmlb_sdnmlb_1	2	2	media	NYM@SD: Doble matanza por parte de los Padres
gid_2016_05_07_nynmlb_sdnmlb_1	3	3	media	NYM@SD: Tablazo de tres carreras de Jon Jay
gid_2016_05_07_nynmlb_sdnmlb_1	4	4	media	NYM@SD: Asdrubal Cabrera se luce con el guante al atrapar un elevado en la cuarta entrada
gid_2016_05_07_nynmlb_sdnmlb_1	5	5	media	NYM@SD: Shields le gana el duelo esta vez a Colón al poncharlo
gid_2016_05_07_nynmlb_sdnmlb_1	6	6	media	NYM@SD: Hand le da un chocolate a Lucas Duda
gid_2016_05_07_nynmlb_sdnmlb_1	7	7	media	NYM@SD: Weeks se lastima en un toque de bola
gid_2016_05_07_nynmlb_sdnmlb_1	8	8	media	NYM@SD: Primer bambinazo de Colón en G.L. fue de 365 pies de largo
gid_2016_05_07_nynmlb_sdnmlb_1	9	9	media	NYM@SD: Solitario bambinazo de Wright
gid_2016_05_07_nynmlb_sdnmlb_1	10	10	media	NYM@SD: Ramírez recibe un ponche por parte de Reed
gid_2016_05_07_nynmlb_sdnmlb_1	11	11	media	NYM@SD: Conforto empalma un HR al jardín derecho
gid_2016_05_07_nynmlb_sdnmlb_1	12	12	media	NYM@SD: Familia baja el telón en la novena entrada
gid_2016_05_07_nynmlb_sdnmlb_1	13	13	media	NYM@SD: Jerry Blevins poncha a Jon Jay
gid_2016_05_07_nynmlb_sdnmlb_1	14	14	media	NYM@SD: El comediante Jim Breuer dialoga acerca de los Mets
gid_2016_05_07_nynmlb_sdnmlb_1	15	15	media	NYM@SD: Lanzadores de Mets saludan a los aficionados
gid_2016_05_07_nynmlb_sdnmlb_1	16	16	media	NYM@SD: Wright se roba segunda base
gid_2016_05_07_nynmlb_sdnmlb_1	17	17	media	NYM@SD: Shields fans eight over six innings
gid_2016_05_07_nynmlb_sdnmlb_1	18	18	media	NYM@SD: Jonrones consecutivos de Wright y Conforto
gid_2016_05_07_nynmlb_sdnmlb_1	19	19	media	NYM@SD: Los Mets muestran su poder al pegar cuatros jonrones
gid_2016_05_07_nynmlb_sdnmlb_1	20	20	media	5/7/16: Colon leads Mets past Padres
gid_2016_05_07_nynmlb_sdnmlb_1	21	21	media	5/7/16 Condensed Game: NYM@SD
gid_2016_05_07_nynmlb_sdnmlb_1	22	22	media	NYM@SD: Collins habla sobre el bambinazo de Colón
gid_2016_05_07_nynmlb_sdnmlb_1	23	23	media	NYM@SD: Green comenta ante la derrota vs. Mets 6-3
gid_2016_05_07_nynmlb_sdnmlb_1	24	24	media	NYM@SD: Noche redondad para Colón en triunfo vs. Padres
gid_2016_05_07_nynmlb_sdnmlb_1	25	25	media	NYM@SD: Reacciones ante el cuadrangular de Colón
gid_2016_05_07_nynmlb_sdnmlb_1	26	26	media	Must C: Primer vuelacercas de Colón sn G.L.
gid_2016_05_07_nynmlb_sdnmlb_1	27	27	media	NYM@SD: Walker fouls ball off of his shin
