gid	key	parent_key	parent_table	text
gid_2016_05_07_nynmlb_sdnmlb_1	0	1	dict	2016-05-08T00:47:46Z
gid_2016_05_07_nynmlb_sdnmlb_1	1	1	dict	2016-05-08T00:48:46Z
gid_2016_05_07_nynmlb_sdnmlb_1	2	3	dict	2016-05-08T01:05:07Z
gid_2016_05_07_nynmlb_sdnmlb_1	3	3	dict	2016-05-08T01:06:07Z
gid_2016_05_07_nynmlb_sdnmlb_1	4	5	dict	2016-05-08T01:29:27Z
gid_2016_05_07_nynmlb_sdnmlb_1	5	5	dict	2016-05-08T01:30:27Z
gid_2016_05_07_nynmlb_sdnmlb_1	6	7	dict	2016-05-08T03:18:08Z
gid_2016_05_07_nynmlb_sdnmlb_1	7	7	dict	2016-05-08T03:19:08Z
gid_2016_05_07_nynmlb_sdnmlb_1	8	9	dict	2016-05-08T03:19:22Z
gid_2016_05_07_nynmlb_sdnmlb_1	9	9	dict	2016-05-08T03:20:22Z
