gid	key	parent_key	parent_table	text
gid_2016_05_07_nynmlb_sdnmlb_1	0	0	media	00:00:30
gid_2016_05_07_nynmlb_sdnmlb_1	1	1	media	00:01:09
gid_2016_05_07_nynmlb_sdnmlb_1	2	2	media	00:00:18
gid_2016_05_07_nynmlb_sdnmlb_1	3	3	media	00:00:29
gid_2016_05_07_nynmlb_sdnmlb_1	4	4	media	00:00:19
gid_2016_05_07_nynmlb_sdnmlb_1	5	5	media	00:00:07
gid_2016_05_07_nynmlb_sdnmlb_1	6	6	media	00:00:13
gid_2016_05_07_nynmlb_sdnmlb_1	7	7	media	00:01:08
gid_2016_05_07_nynmlb_sdnmlb_1	8	8	media	00:00:46
gid_2016_05_07_nynmlb_sdnmlb_1	9	9	media	00:00:30
gid_2016_05_07_nynmlb_sdnmlb_1	10	10	media	00:00:13
gid_2016_05_07_nynmlb_sdnmlb_1	11	11	media	00:00:30
gid_2016_05_07_nynmlb_sdnmlb_1	12	12	media	00:00:29
gid_2016_05_07_nynmlb_sdnmlb_1	13	13	media	00:00:08
gid_2016_05_07_nynmlb_sdnmlb_1	14	14	media	00:01:25
gid_2016_05_07_nynmlb_sdnmlb_1	15	15	media	00:00:30
gid_2016_05_07_nynmlb_sdnmlb_1	16	16	media	00:00:15
gid_2016_05_07_nynmlb_sdnmlb_1	17	17	media	00:01:09
gid_2016_05_07_nynmlb_sdnmlb_1	18	18	media	00:00:58
gid_2016_05_07_nynmlb_sdnmlb_1	19	19	media	00:01:54
gid_2016_05_07_nynmlb_sdnmlb_1	20	20	media	00:03:05
gid_2016_05_07_nynmlb_sdnmlb_1	21	21	media	00:11:41
gid_2016_05_07_nynmlb_sdnmlb_1	22	22	media	00:01:36
gid_2016_05_07_nynmlb_sdnmlb_1	23	23	media	00:01:26
gid_2016_05_07_nynmlb_sdnmlb_1	24	24	media	00:01:49
gid_2016_05_07_nynmlb_sdnmlb_1	25	25	media	00:01:36
gid_2016_05_07_nynmlb_sdnmlb_1	26	26	media	00:03:43
gid_2016_05_07_nynmlb_sdnmlb_1	27	27	media	00:00:40
