description	gid	inning	key	number	parent_key	parent_table	text
Curtis Granderson flies out to center fielder Jon Jay.  	gid_2016_05_07_nynmlb_sdnmlb_1	1	0	9	0	team	
David Wright walks.  	gid_2016_05_07_nynmlb_sdnmlb_1	1	1	18	0	team	
Michael Conforto strikes out swinging.  	gid_2016_05_07_nynmlb_sdnmlb_1	1	2	28	0	team	
Yoenis Cespedes homers (10) on a fly ball to left field.   David Wright scores.  	gid_2016_05_07_nynmlb_sdnmlb_1	1	3	40	0	team	
Lucas Duda strikes out swinging.  	gid_2016_05_07_nynmlb_sdnmlb_1	1	4	48	0	team	
Neil Walker lines out to left fielder Melvin Upton.  	gid_2016_05_07_nynmlb_sdnmlb_1	2	5	76	0	team	
Asdrubal Cabrera grounds out, shortstop Alexei Ramirez to first baseman Wil Myers.  	gid_2016_05_07_nynmlb_sdnmlb_1	2	6	82	0	team	
Kevin Plawecki doubles (1) on a line drive to center fielder Jon Jay.  	gid_2016_05_07_nynmlb_sdnmlb_1	2	7	86	0	team	
Bartolo Colon homers (1) on a fly ball to left field.   Kevin Plawecki scores.  	gid_2016_05_07_nynmlb_sdnmlb_1	2	8	95	0	team	
Curtis Granderson grounds out, shortstop Alexei Ramirez to first baseman Wil Myers.  	gid_2016_05_07_nynmlb_sdnmlb_1	2	9	102	0	team	
David Wright walks.  	gid_2016_05_07_nynmlb_sdnmlb_1	3	10	131	0	team	
Michael Conforto walks.   David Wright to 2nd.  	gid_2016_05_07_nynmlb_sdnmlb_1	3	11	142	0	team	
Yoenis Cespedes grounds into a double play, shortstop Alexei Ramirez to second baseman Jemile Weeks to first baseman Wil Myers.   David Wright to 3rd.    Michael Conforto out at 2nd.  	gid_2016_05_07_nynmlb_sdnmlb_1	3	12	149	0	team	
Lucas Duda strikes out swinging.  	gid_2016_05_07_nynmlb_sdnmlb_1	3	13	156	0	team	
Neil Walker grounds out to first baseman Wil Myers.  	gid_2016_05_07_nynmlb_sdnmlb_1	4	14	216	0	team	
Asdrubal Cabrera doubles (7) on a line drive to right fielder Matt Kemp.  	gid_2016_05_07_nynmlb_sdnmlb_1	4	15	222	0	team	
Kevin Plawecki grounds out, shortstop Alexei Ramirez to first baseman Wil Myers.  	gid_2016_05_07_nynmlb_sdnmlb_1	4	16	227	0	team	
Bartolo Colon strikes out swinging.  	gid_2016_05_07_nynmlb_sdnmlb_1	4	17	234	0	team	
Curtis Granderson strikes out swinging.  	gid_2016_05_07_nynmlb_sdnmlb_1	5	18	268	0	team	
David Wright walks.  	gid_2016_05_07_nynmlb_sdnmlb_1	5	19	277	0	team	
Michael Conforto strikes out swinging.  	gid_2016_05_07_nynmlb_sdnmlb_1	5	20	284	0	team	
Yoenis Cespedes flies out to right fielder Matt Kemp.  	gid_2016_05_07_nynmlb_sdnmlb_1	5	21	291	0	team	
Lucas Duda doubles (4) on a sharp line drive to right fielder Matt Kemp.  	gid_2016_05_07_nynmlb_sdnmlb_1	6	22	325	0	team	
