gid	key	parent_key	parent_table	text
gid_2016_05_07_nynmlb_sdnmlb_1	0	0	media	Vuelacercas solitario del cubano Céspedes
gid_2016_05_07_nynmlb_sdnmlb_1	1	1	media	Histórico primer HR de Bartolo Colón en Grandes Ligas
gid_2016_05_07_nynmlb_sdnmlb_1	2	2	media	Doble matanza por parte de los Padres
gid_2016_05_07_nynmlb_sdnmlb_1	3	3	media	Tablazo de tres carreras de Jon Jay
gid_2016_05_07_nynmlb_sdnmlb_1	4	4	media	Asdrubal Cabrera se luce con el guante
gid_2016_05_07_nynmlb_sdnmlb_1	5	5	media	Shields le gana el duelo esta vez a Colón al poncharlo
gid_2016_05_07_nynmlb_sdnmlb_1	6	6	media	Hand le da un chocolate a Lucas Duda
gid_2016_05_07_nynmlb_sdnmlb_1	7	7	media	Weeks se lastima en un toque de bola
gid_2016_05_07_nynmlb_sdnmlb_1	8	8	media	Statcast: Primer bambinazo de Colón en G.L.
gid_2016_05_07_nynmlb_sdnmlb_1	9	9	media	Solitario bambinazo de Wright
gid_2016_05_07_nynmlb_sdnmlb_1	10	10	media	Ramírez recibe un ponche por parte de Reed
gid_2016_05_07_nynmlb_sdnmlb_1	11	11	media	Conforto empalma un HR al jardín derecho
gid_2016_05_07_nynmlb_sdnmlb_1	12	12	media	Familia baja el telón en la novena entrada
gid_2016_05_07_nynmlb_sdnmlb_1	13	13	media	Jerry Blevins poncha a Jon Jay
gid_2016_05_07_nynmlb_sdnmlb_1	14	14	media	El comediante Breuer dialoga acerca de los Mets
gid_2016_05_07_nynmlb_sdnmlb_1	15	15	media	Lanzadores de Mets saludan a los aficionados
gid_2016_05_07_nynmlb_sdnmlb_1	16	16	media	Wright se roba segunda base
gid_2016_05_07_nynmlb_sdnmlb_1	17	17	media	Shields' solid outing
gid_2016_05_07_nynmlb_sdnmlb_1	18	18	media	Jonrones consecutivos de Wright y Conforto
gid_2016_05_07_nynmlb_sdnmlb_1	19	19	media	Los Mets muestran su poder al pegar cuatros jonrones
gid_2016_05_07_nynmlb_sdnmlb_1	20	20	media	Recap: NYM 6, SD 3
gid_2016_05_07_nynmlb_sdnmlb_1	21	21	media	5/7/16 CG: NYM@SD
gid_2016_05_07_nynmlb_sdnmlb_1	22	22	media	Collins habla sobre el bambinazo de Colón
gid_2016_05_07_nynmlb_sdnmlb_1	23	23	media	Green comenta ante la derrota vs. Mets 6-3
gid_2016_05_07_nynmlb_sdnmlb_1	24	24	media	Noche redondad para Colón en triunfo vs. Padres
gid_2016_05_07_nynmlb_sdnmlb_1	25	25	media	Reacciones ante el cuadrangular de Colón
gid_2016_05_07_nynmlb_sdnmlb_1	26	26	media	Must C: Primer vuelacercas de Colón sn G.L.
gid_2016_05_07_nynmlb_sdnmlb_1	27	27	media	Walker fouls ball off shin
