gid	key	parent_key	parent_table	text
gid_2016_05_07_nynmlb_sdnmlb_1	0	0	dict	10
gid_2016_05_07_nynmlb_sdnmlb_1	1	2	dict	2
gid_2016_05_07_nynmlb_sdnmlb_1	2	2	dict	0
gid_2016_05_07_nynmlb_sdnmlb_1	3	4	dict	4
gid_2016_05_07_nynmlb_sdnmlb_1	4	4	dict	0
gid_2016_05_07_nynmlb_sdnmlb_1	5	6	dict	4
gid_2016_05_07_nynmlb_sdnmlb_1	6	6	dict	3
gid_2016_05_07_nynmlb_sdnmlb_1	7	8	dict	5
gid_2016_05_07_nynmlb_sdnmlb_1	8	8	dict	3
gid_2016_05_07_nynmlb_sdnmlb_1	9	10	dict	6
gid_2016_05_07_nynmlb_sdnmlb_1	10	10	dict	3
