gid	key	parent_key	parent_table	text
gid_2016_05_07_nynmlb_sdnmlb_1	0	0	dict	merchant
gid_2016_05_07_nynmlb_sdnmlb_1	1	0	dict	title
gid_2016_05_07_nynmlb_sdnmlb_1	2	0	dict	refresh-interval-sec
gid_2016_05_07_nynmlb_sdnmlb_1	3	0	dict	events
gid_2016_05_07_nynmlb_sdnmlb_1	4	1	dict	artwork-url
gid_2016_05_07_nynmlb_sdnmlb_1	5	1	dict	start
gid_2016_05_07_nynmlb_sdnmlb_1	6	1	dict	end
gid_2016_05_07_nynmlb_sdnmlb_1	7	1	dict	title
gid_2016_05_07_nynmlb_sdnmlb_1	8	1	dict	description
gid_2016_05_07_nynmlb_sdnmlb_1	9	1	dict	scores
gid_2016_05_07_nynmlb_sdnmlb_1	10	2	dict	away
gid_2016_05_07_nynmlb_sdnmlb_1	11	2	dict	home
gid_2016_05_07_nynmlb_sdnmlb_1	12	3	dict	artwork-url
gid_2016_05_07_nynmlb_sdnmlb_1	13	3	dict	start
gid_2016_05_07_nynmlb_sdnmlb_1	14	3	dict	end
gid_2016_05_07_nynmlb_sdnmlb_1	15	3	dict	title
gid_2016_05_07_nynmlb_sdnmlb_1	16	3	dict	description
gid_2016_05_07_nynmlb_sdnmlb_1	17	3	dict	scores
gid_2016_05_07_nynmlb_sdnmlb_1	18	4	dict	away
gid_2016_05_07_nynmlb_sdnmlb_1	19	4	dict	home
gid_2016_05_07_nynmlb_sdnmlb_1	20	5	dict	artwork-url
gid_2016_05_07_nynmlb_sdnmlb_1	21	5	dict	start
gid_2016_05_07_nynmlb_sdnmlb_1	22	5	dict	end
gid_2016_05_07_nynmlb_sdnmlb_1	23	5	dict	title
gid_2016_05_07_nynmlb_sdnmlb_1	24	5	dict	description
gid_2016_05_07_nynmlb_sdnmlb_1	25	5	dict	scores
gid_2016_05_07_nynmlb_sdnmlb_1	26	6	dict	away
gid_2016_05_07_nynmlb_sdnmlb_1	27	6	dict	home
gid_2016_05_07_nynmlb_sdnmlb_1	28	7	dict	artwork-url
gid_2016_05_07_nynmlb_sdnmlb_1	29	7	dict	start
gid_2016_05_07_nynmlb_sdnmlb_1	30	7	dict	end
gid_2016_05_07_nynmlb_sdnmlb_1	31	7	dict	title
gid_2016_05_07_nynmlb_sdnmlb_1	32	7	dict	description
gid_2016_05_07_nynmlb_sdnmlb_1	33	7	dict	scores
gid_2016_05_07_nynmlb_sdnmlb_1	34	8	dict	away
gid_2016_05_07_nynmlb_sdnmlb_1	35	8	dict	home
gid_2016_05_07_nynmlb_sdnmlb_1	36	9	dict	artwork-url
gid_2016_05_07_nynmlb_sdnmlb_1	37	9	dict	start
gid_2016_05_07_nynmlb_sdnmlb_1	38	9	dict	end
gid_2016_05_07_nynmlb_sdnmlb_1	39	9	dict	title
gid_2016_05_07_nynmlb_sdnmlb_1	40	9	dict	description
gid_2016_05_07_nynmlb_sdnmlb_1	41	9	dict	scores
gid_2016_05_07_nynmlb_sdnmlb_1	42	10	dict	away
gid_2016_05_07_nynmlb_sdnmlb_1	43	10	dict	home
