gid	key	parent_key	parent_table	text
gid_2016_05_07_nynmlb_sdnmlb_1	0	0	row	NYM
gid_2016_05_07_nynmlb_sdnmlb_1	1	1	row	SD
gid_2016_05_07_nynmlb_sdnmlb_1	2	2	row	
gid_2016_05_07_nynmlb_sdnmlb_1	3	2	row	
gid_2016_05_07_nynmlb_sdnmlb_1	4	2	row	
gid_2016_05_07_nynmlb_sdnmlb_1	5	2	row	
gid_2016_05_07_nynmlb_sdnmlb_1	6	2	row	
gid_2016_05_07_nynmlb_sdnmlb_1	7	2	row	
gid_2016_05_07_nynmlb_sdnmlb_1	8	2	row	
gid_2016_05_07_nynmlb_sdnmlb_1	9	2	row	
gid_2016_05_07_nynmlb_sdnmlb_1	10	2	row	
gid_2016_05_07_nynmlb_sdnmlb_1	11	3	row	
gid_2016_05_07_nynmlb_sdnmlb_1	12	3	row	
gid_2016_05_07_nynmlb_sdnmlb_1	13	3	row	
gid_2016_05_07_nynmlb_sdnmlb_1	14	3	row	
gid_2016_05_07_nynmlb_sdnmlb_1	15	3	row	
gid_2016_05_07_nynmlb_sdnmlb_1	16	3	row	
gid_2016_05_07_nynmlb_sdnmlb_1	17	3	row	
gid_2016_05_07_nynmlb_sdnmlb_1	18	3	row	
gid_2016_05_07_nynmlb_sdnmlb_1	19	3	row	
gid_2016_05_07_nynmlb_sdnmlb_1	20	4	row	
gid_2016_05_07_nynmlb_sdnmlb_1	21	4	row	
gid_2016_05_07_nynmlb_sdnmlb_1	22	4	row	
gid_2016_05_07_nynmlb_sdnmlb_1	23	5	row	
gid_2016_05_07_nynmlb_sdnmlb_1	24	5	row	
gid_2016_05_07_nynmlb_sdnmlb_1	25	5	row	
