b	description	gid	key	o	parent_key	parent_table	s	text
2	Curtis Granderson flies out to center fielder Jon Jay.  	gid_2016_05_07_nynmlb_sdnmlb_1	0	1	0	play-by-play	1	
4	David Wright walks.  	gid_2016_05_07_nynmlb_sdnmlb_1	1	1	0	play-by-play	2	
2	Michael Conforto strikes out swinging.  	gid_2016_05_07_nynmlb_sdnmlb_1	2	2	0	play-by-play	3	
2	Yoenis Cespedes homers (10) on a fly ball to left field.   David Wright scores.  	gid_2016_05_07_nynmlb_sdnmlb_1	3	2	0	play-by-play	2	
2	Lucas Duda strikes out swinging.  	gid_2016_05_07_nynmlb_sdnmlb_1	4	3	0	play-by-play	3	
1	Jon Jay lines out to center fielder Yoenis Cespedes.  	gid_2016_05_07_nynmlb_sdnmlb_1	5	1	1	play-by-play	0	
1	Wil Myers grounds out softly, second baseman Neil Walker to first baseman Lucas Duda.  	gid_2016_05_07_nynmlb_sdnmlb_1	6	2	1	play-by-play	2	
1	Matt Kemp lines out to third baseman David Wright.  	gid_2016_05_07_nynmlb_sdnmlb_1	7	3	1	play-by-play	0	
3	Neil Walker lines out to left fielder Melvin Upton.  	gid_2016_05_07_nynmlb_sdnmlb_1	8	1	2	play-by-play	2	
1	Asdrubal Cabrera grounds out, shortstop Alexei Ramirez to first baseman Wil Myers.  	gid_2016_05_07_nynmlb_sdnmlb_1	9	2	2	play-by-play	1	
0	Kevin Plawecki doubles (1) on a line drive to center fielder Jon Jay.  	gid_2016_05_07_nynmlb_sdnmlb_1	10	2	2	play-by-play	0	
1	Bartolo Colon homers (1) on a fly ball to left field.   Kevin Plawecki scores.  	gid_2016_05_07_nynmlb_sdnmlb_1	11	2	2	play-by-play	1	
2	Curtis Granderson grounds out, shortstop Alexei Ramirez to first baseman Wil Myers.  	gid_2016_05_07_nynmlb_sdnmlb_1	12	3	2	play-by-play	1	
1	Brett Wallace grounds out, third baseman David Wright to first baseman Lucas Duda.  	gid_2016_05_07_nynmlb_sdnmlb_1	13	1	3	play-by-play	1	
1	Melvin Upton strikes out swinging.  	gid_2016_05_07_nynmlb_sdnmlb_1	14	2	3	play-by-play	3	
