ax	ay	az	break_angle	break_length	break_y	cc	des	des_es	end_speed	event_num	gid	id	key	mt	nasty	on_1b	parent_key	parent_table	pfx_x	pfx_z	pitch_type	play_guid	px	pz	spin_dir	spin_rate	start_speed	sv_id	sz_bot	sz_top	text	tfs	tfs_zulu	type	type_confidence	vx0	vy0	vz0	x	x0	y	y0	z0	zone
-10.703	25.922	-11.702	35.5	4.2	23.8		Called Strike	Strike cantado	78.5	540	gid_2016_05_07_nynmlb_sdnmlb_1	540	0		56		0	atbat	-6.8	12.96	FF	398c3c14-8177-4e1d-83c4-9af0b39de8f0	0.361	1.916	207.600	2683.697	85.4	160507_201832	1.54	3.09		031702	2016-05-08T03:17:02Z	S	.860	5.722	-124.882	-8.299	103.24	-1.08	187.05	50.0	6.252	9
8.921	17.086	-40.127	-12.3	15.6	23.9		In play, out(s)	En juego, out(s)	65.7	541	gid_2016_05_07_nynmlb_sdnmlb_1	541	1		50		0	atbat	8.38	-7.54	CU	5c86ba6f-1c3b-4442-9a71-d0d22c9fb547	-0.777	1.64	48.282	1690.237	69.9	160507_201847	1.54	3.18		031721	2016-05-08T03:17:21Z	X	.842	-1.018	-102.582	-0.172	146.62	-1.363	194.5	50.0	6.62	13
-14.288	25.945	-15.699	36.5	5.3	23.8		Ball	Bola mala	80.1	545	gid_2016_05_07_nynmlb_sdnmlb_1	545	2		70		1	atbat	-8.75	10.05	FT	232729c6-730c-4f3a-a88e-91ecd638d6a5	1.039	1.887	220.933	2492.171	86.9	160507_201930	1.64	3.56		031810	2016-05-08T03:18:10Z	B	.898	7.747	-126.95	-7.734	77.4	-0.915	187.83	50.0	6.222	14
7.855	18.212	-37.406	-12.1	14.2	23.9		Ball	Bola mala	66.7	546	gid_2016_05_07_nynmlb_sdnmlb_1	546	3		37		1	atbat	7.16	-4.84	CU	b69926a4-2620-42a8-93f6-b0e75a7adc4d	1.06	0.979	56.333	1312.640	71.2	160507_201944	1.64	3.52		031817	2016-05-08T03:18:17Z	B	.868	2.373	-104.312	-2.342	76.6	-1.023	212.35	50.0	6.543	14
-12.0	26.714	-20.12	27.6	5.9	23.8		In play, run(s)	En juego, carrera(s)	80.5	547	gid_2016_05_07_nynmlb_sdnmlb_1	547	4		39		1	atbat	-7.27	7.26	FT	d9f45b8d-f12d-401a-82f7-b7d8fef987f3	-0.358	2.187	224.870	1931.513	87.3	160507_202004	1.64	3.56		031838	2016-05-08T03:18:38Z	X	.895	4.181	-127.755	-6.127	130.65	-1.072	179.73	50.0	6.201	7
7.2	15.897	-31.485	-12.6	11.6	23.9		Called Strike	Strike cantado	67.4	552	gid_2016_05_07_nynmlb_sdnmlb_1	552	5		88		2	atbat	6.36	0.54	CU	36a43607-7b75-4224-a3cc-72f47a7c4dc7	-1.109	2.659	95.466	998.273	71.7	160507_202059	1.54	3.33		031929	2016-05-08T03:19:29Z	S	.900	-0.964	-105.115	-0.743	159.27	-1.475	166.99	50.0	6.636	11
-9.708	24.022	-16.554	26.9	4.9	23.8		In play, run(s)	En juego, carrera(s)	79.9	553	gid_2016_05_07_nynmlb_sdnmlb_1	553	6		26		2	atbat	-5.97	9.57	FF	7d24e0ce-82d4-48b7-bd8e-8207a00c8383	0.06	2.921	211.860	2113.526	86.2	160507_202114	1.54	3.42		031949	2016-05-08T03:19:49Z	X	.846	4.434	-126.241	-5.242	114.71	-0.937	159.91	50.0	6.343	2
-14.726	26.895	-16.395	36.2	5.5	23.8		Ball	Bola mala	81.6	558	gid_2016_05_07_nynmlb_sdnmlb_1	558	7		39		3	atbat	-8.74	9.32	FT	f38ae196-2cd6-438c-a8be-800df7c4b26f	0.32	0.85	223.022	2426.963	88.3	160507_202208	1.69	3.54		032038	2016-05-08T03:20:38Z	B	.897	6.128	-129.019	-10.185	104.8	-0.951	215.83	50.0	6.112	14
6.502	19.645	-25.889	-15.1	7.6	23.9		Ball	Bola mala	77.2	559	gid_2016_05_07_nynmlb_sdnmlb_1	559	8		35		3	atbat	4.4	4.2	SL	2dc626e9-81bd-4153-834d-6c7c890b6cf9	1.772	1.582	134.029	1094.508	81.9	160507_202224	1.63	3.43		032054	2016-05-08T03:20:54Z	B	.906	5.168	-119.867	-5.97	49.46	-0.97	196.07	50.0	6.369	14
6.793	18.384	-25.715	-15.4	7.5	24.0		Ball	Bola mala	77.5	560	gid_2016_05_07_nynmlb_sdnmlb_1	560	9		32		3	atbat	4.57	4.3	SL	fa64a31d-048e-4d44-9232-e38aa9d6fa56	1.414	1.29	133.557	1135.112	81.9	160507_202241	1.63	3.49		032113	2016-05-08T03:21:13Z	B	.906	4.333	-119.803	-6.705	63.1	-0.998	203.95	50.0	6.356	14
