gid	key	parent_key	parent_table	text	type
gid_2016_05_07_nynmlb_sdnmlb_1	0	0	media	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_8.jpg	8
gid_2016_05_07_nynmlb_sdnmlb_1	1	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_19.jpg	19
gid_2016_05_07_nynmlb_sdnmlb_1	2	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_23.jpg	23
gid_2016_05_07_nynmlb_sdnmlb_1	3	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_29.jpg	29
gid_2016_05_07_nynmlb_sdnmlb_1	4	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_30.jpg	30
gid_2016_05_07_nynmlb_sdnmlb_1	5	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_31.jpg	31
gid_2016_05_07_nynmlb_sdnmlb_1	6	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_32.jpg	32
gid_2016_05_07_nynmlb_sdnmlb_1	7	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_44.jpg	44
gid_2016_05_07_nynmlb_sdnmlb_1	8	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_45.jpg	45
gid_2016_05_07_nynmlb_sdnmlb_1	9	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_46.jpg	46
gid_2016_05_07_nynmlb_sdnmlb_1	10	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_47.jpg	47
gid_2016_05_07_nynmlb_sdnmlb_1	11	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_48.jpg	48
gid_2016_05_07_nynmlb_sdnmlb_1	12	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_49.jpg	49
gid_2016_05_07_nynmlb_sdnmlb_1	13	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_50.jpg	50
gid_2016_05_07_nynmlb_sdnmlb_1	14	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_51.jpg	51
gid_2016_05_07_nynmlb_sdnmlb_1	15	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_52.jpg	52
gid_2016_05_07_nynmlb_sdnmlb_1	16	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_53.jpg	53
gid_2016_05_07_nynmlb_sdnmlb_1	17	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_1.jpg	1
gid_2016_05_07_nynmlb_sdnmlb_1	18	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_2.jpg	2
gid_2016_05_07_nynmlb_sdnmlb_1	19	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_3.jpg	3
gid_2016_05_07_nynmlb_sdnmlb_1	20	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_4.jpg	4
gid_2016_05_07_nynmlb_sdnmlb_1	21	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_5.jpg	5
gid_2016_05_07_nynmlb_sdnmlb_1	22	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_6.jpg	6
gid_2016_05_07_nynmlb_sdnmlb_1	23	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_7.jpg	7
gid_2016_05_07_nynmlb_sdnmlb_1	24	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_8.jpg	8
gid_2016_05_07_nynmlb_sdnmlb_1	25	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_10.jpg	10
gid_2016_05_07_nynmlb_sdnmlb_1	26	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_22.jpg	22
gid_2016_05_07_nynmlb_sdnmlb_1	27	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_25.jpg	25
gid_2016_05_07_nynmlb_sdnmlb_1	28	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_33.jpg	33
gid_2016_05_07_nynmlb_sdnmlb_1	29	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_34.jpg	34
gid_2016_05_07_nynmlb_sdnmlb_1	30	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_35.jpg	35
gid_2016_05_07_nynmlb_sdnmlb_1	31	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_36.jpg	36
gid_2016_05_07_nynmlb_sdnmlb_1	32	0	thumbnails	http://mediadownloads.mlb.com/mlbam/2016/05/08/images/mlbf_669358083_th_37.jpg	37
