gid	key	parent_key	parent_table	text
gid_2016_05_07_nynmlb_sdnmlb_1	0	0	last_five	
gid_2016_05_07_nynmlb_sdnmlb_1	1	0	game	
gid_2016_05_07_nynmlb_sdnmlb_1	2	1	game	
gid_2016_05_07_nynmlb_sdnmlb_1	3	2	game	
gid_2016_05_07_nynmlb_sdnmlb_1	4	3	game	
gid_2016_05_07_nynmlb_sdnmlb_1	5	4	game	
gid_2016_05_07_nynmlb_sdnmlb_1	6	5	game	
gid_2016_05_07_nynmlb_sdnmlb_1	7	6	game	
gid_2016_05_07_nynmlb_sdnmlb_1	8	7	game	
gid_2016_05_07_nynmlb_sdnmlb_1	9	8	game	
gid_2016_05_07_nynmlb_sdnmlb_1	10	9	game	
gid_2016_05_07_nynmlb_sdnmlb_1	11	10	game	
gid_2016_05_07_nynmlb_sdnmlb_1	12	11	game	
gid_2016_05_07_nynmlb_sdnmlb_1	13	12	game	
gid_2016_05_07_nynmlb_sdnmlb_1	14	13	game	
gid_2016_05_07_nynmlb_sdnmlb_1	15	14	game	
